Recorded On,Activity Date,Start Time,Finish Time,Distance,Duration,Max Speed
2021-04-23 07:27:26,2021-04-23,07:27:26,07:36:14,2.24,528.0,26.61
2021-04-23 15:15:14,2021-04-23,15:15:14,15:31:41,4.777,987.0,32.43
2021-04-26 09:43:27,2021-04-26,09:43:27,09:52:36,2.192,549.0,24.13
2021-04-26 15:41:52,2021-04-26,15:41:52,16:12:34,6.115,1842.0,38.41
2021-04-27 06:52:51,2021-04-27,06:52:51,07:01:48,2.256,537.0,27.69
2021-04-29 06:59:17,2021-04-29,06:59:17,07:09:35,2.218,618.0,28.6
2021-04-29 15:18:05,2021-04-29,15:18:05,15:38:15,6.46,1210.0,31.52
2021-04-30 10:45:13,2021-04-30,10:45:13,11:01:52,3.731,999.0,31.18
2021-04-30 17:31:33,2021-04-30,17:31:33,17:47:41,5.438,968.0,36.76
2021-05-04 07:07:19,2021-05-04,07:07:19,07:18:04,2.354,645.0,29.94
2021-05-04 15:24:39,2021-05-04,15:24:39,15:36:18,3.445,699.0,32.61
2021-05-06 07:09:14,2021-05-06,07:09:14,07:18:08,2.33,534.0,27.9
2021-05-06 16:44:53,2021-05-06,16:44:53,17:01:32,5.427,999.0,30.85
2021-05-07 07:04:13,2021-05-07,07:04:13,07:12:38,2.176,505.0,27.9
2021-05-07 16:57:06,2021-05-07,16:57:06,17:18:07,5.68,1261.0,33.5
2021-05-10 20:19:00,2021-05-10,20:19:00,20:38:57,7.065,1197.0,33.19
2021-05-11 07:08:14,2021-05-11,07:08:14,07:21:33,2.615,799.0,31.32
2021-05-11 16:33:44,2021-05-11,16:33:44,16:51:07,5.443,1043.0,31.91
2021-05-11 20:11:56,2021-05-11,20:11:56,20:36:02,7.416,1446.0,32.07
2021-05-12 13:29:07,2021-05-12,13:29:07,13:41:47,3.06,760.0,33.15
2021-05-12 14:20:33,2021-05-12,14:20:33,14:35:12,3.752,879.0,35.83
2021-05-12 19:16:53,2021-05-12,19:16:53,19:24:43,2.395,470.0,39.77
2021-05-12 19:31:29,2021-05-12,19:31:29,19:39:44,2.418,495.0,47.9
2021-05-13 06:59:07,2021-05-13,06:59:07,07:13:34,2.869,867.0,38.99
2021-05-13 20:20:23,2021-05-13,20:20:23,20:40:35,7.447,1212.0,33.93
2021-05-14 09:09:30,2021-05-14,09:09:30,09:22:02,3.334,752.0,28.69
2021-05-14 15:29:52,2021-05-14,15:29:52,15:53:28,5.586,1416.0,35.22
2021-05-14 20:38:54,2021-05-14,20:38:54,21:00:20,7.725,1286.0,35.99
2021-05-15 21:48:52,2021-05-15,21:48:52,22:09:25,7.609,1233.0,31.48
2021-05-17 07:10:40,2021-05-17,07:10:40,07:23:58,2.723,798.0,32.76
2021-05-17 15:50:47,2021-05-17,15:50:47,16:07:01,5.478,974.0,32.5
2021-05-17 20:59:10,2021-05-17,20:59:10,21:22:41,7.759,1411.0,37.42
2021-05-18 07:26:50,2021-05-18,07:26:50,07:34:10,2.345,440.0,28.81
2021-05-18 14:08:30,2021-05-18,14:08:30,14:26:54,5.714,1104.0,36.99
2021-05-18 21:31:00,2021-05-18,21:31:00,21:48:19,6.088,1039.0,36.8
2021-05-19 21:07:12,2021-05-19,21:07:12,21:27:48,7.598,1236.0,35.03
2021-05-20 16:13:51,2021-05-20,16:13:51,16:24:37,3.256,646.0,32.14
2021-05-20 20:48:23,2021-05-20,20:48:23,21:08:32,7.281,1209.0,29.58
2021-05-21 07:34:17,2021-05-21,07:34:17,07:43:26,2.346,549.0,31.28
2021-05-21 16:09:01,2021-05-21,16:09:01,16:17:38,2.324,517.0,26.78
2021-05-29 21:19:15,2021-05-29,21:19:15,21:44:00,8.085,1485.0,32.28
2021-05-30 20:42:18,2021-05-30,20:42:18,21:14:00,7.439,1902.0,35.86
2021-06-02 20:12:24,2021-06-02,20:12:24,20:32:39,6.991,1215.0,32.12
2021-06-07 15:10:26,2021-06-07,15:10:26,15:33:17,3.55,1371.0,58.3
2021-06-11 15:32:03,2021-06-11,15:32:03,15:58:08,4.324,1565.0,31.39
2021-06-11 21:22:03,2021-06-11,21:22:03,21:40:48,7.024,1125.0,30.73
2021-06-12 20:12:58,2021-06-12,20:12:58,20:36:10,7.112,1392.0,37.79
2021-06-13 20:30:40,2021-06-13,20:30:40,20:50:37,7.599,1197.0,35.69
2021-06-14 20:28:21,2021-06-14,20:28:21,20:47:43,7.026,1162.0,32.75
2021-06-15 07:13:24,2021-06-15,07:13:24,07:26:12,2.747,768.0,46.89
2021-06-15 15:31:24,2021-06-15,15:31:24,15:43:16,3.421,712.0,34.25
2021-06-15 21:00:05,2021-06-15,21:00:05,21:19:19,7.041,1154.0,31.83
2021-06-17 06:57:19,2021-06-17,06:57:19,07:07:37,2.501,618.0,28.54
2021-06-17 15:14:11,2021-06-17,15:14:11,15:26:22,3.341,731.0,55.71
2021-06-18 10:27:03,2021-06-18,10:27:03,10:52:24,4.23,1521.0,45.34
2021-06-18 17:19:33,2021-06-18,17:19:33,17:30:12,3.304,639.0,35.96
2021-06-19 12:13:29,2021-06-19,12:13:29,12:23:21,2.373,592.0,26.62
2021-06-19 12:23:31,2021-06-19,12:23:31,12:39:11,5.113,940.0,30.94
2021-06-20 19:31:50,2021-06-20,19:31:50,19:51:26,7.047,1176.0,31.44
2021-06-21 19:35:26,2021-06-21,19:35:26,19:39:13,0.715,227.0,16.38
2021-06-21 19:42:47,2021-06-21,19:42:47,19:49:51,1.059,424.0,17.35
2021-06-22 07:14:55,2021-06-22,07:14:55,07:27:25,3.298,750.0,27.0
2021-06-22 13:25:48,2021-06-22,13:25:48,13:40:59,5.331,911.0,36.39
2021-06-22 19:57:04,2021-06-22,19:57:04,20:17:16,2.302,1212.0,14.71
2021-06-23 14:27:30,2021-06-23,14:27:30,14:36:29,2.087,539.0,30.97
2021-06-23 14:43:01,2021-06-23,14:43:01,14:55:35,3.441,754.0,53.15
2021-06-24 07:09:12,2021-06-24,07:09:12,07:20:23,2.71,671.0,37.96
2021-06-24 16:50:53,2021-06-24,16:50:53,17:16:17,2.971,1524.0,14.12
2021-06-25 06:54:30,2021-06-25,06:54:30,07:02:24,2.421,474.0,35.93
2021-06-25 15:39:38,2021-06-25,15:39:38,15:48:04,2.423,506.0,27.75
2021-06-28 09:51:22,2021-06-28,09:51:22,10:01:41,2.624,619.0,38.18
2021-06-28 15:34:10,2021-06-28,15:34:10,15:51:16,5.58,1026.0,33.98
2021-06-29 07:09:41,2021-06-29,07:09:41,07:18:05,2.339,504.0,37.91
2021-06-29 15:39:27,2021-06-29,15:39:27,15:50:19,3.414,652.0,33.15
2021-07-01 14:19:38,2021-07-01,14:19:38,14:28:25,2.35,527.0,31.1
2021-07-03 16:11:42,2021-07-03,16:11:42,16:18:36,2.17,414.0,29.54
2021-07-12 13:57:46,2021-07-12,13:57:46,14:44:34,5.733,2808.0,34.98
2021-07-12 19:24:16,2021-07-12,19:24:16,19:42:56,7.095,1120.0,32.04
2021-07-13 18:48:56,2021-07-13,18:48:56,19:12:00,3.61,1384.0,37.68
2021-07-13 19:21:37,2021-07-13,19:21:37,19:32:12,3.742,635.0,37.87
2021-07-17 12:29:21,2021-07-17,12:29:21,13:00:01,6.54,1840.0,33.24
